ICR,Race,TwoBlocks
16000403,Black,0
16000404,Black,0
16000413,Black,0
16000431,Black,0
16000465,Black,0
16000473,Black,0
16000499,Black,0
16000503,Black,0
16000529,Black,0
16000532,Black,0
16000567,Black,0
16000570,Black,0
16000585,Black,0
16000343,Black,0
16000593,Black,0
16000608,Black,0
16000655,Black,0
16000659,Black,0
16000666,Black,0
16000685,Black,0
16000725,Black,0
16000796,Black,0
16000799,Black,0
16000809,Black,0
16000829,Black,0
16000831,Black,0
16000864,Black,0
16000865,Black,0
16000868,Black,0
16000869,Black,0
16000920,Black,0
16000948,Black,0
16000953,Black,0
16000954,Black,0
16000960,Black,0
16001072,Black,0
16001080,Black,0
16001097,Black,0
16001114,Black,0
16001138,Black,0
16001148,Black,0
16001165,Black,0
16001174,Black,0
16001183,Black,0
16001187,Black,0
16001191,Black,0
16001195,Black,0
16001196,Black,0
16001207,Black,0
16001252,Black,0
16001280,Black,0
16001312,Black,0
16001313,Black,0
16001334,Black,0
16001334,Black,0
16001339,Black,0
16001345,Black,0
16001353,Black,0
16001355,Black,0
16001359,Black,0
16001379,Black,0
16001395,Black,0
16001399,Black,0
16001417,Black,0
16001450,Black,0
16001474,Black,0
16001488,Black,0
16001544,Black,0
16001547,Black,0
16001560,Black,0
16001565,Black,0
16001573,Black,0
16001575,Black,0
16001608,Black,0
16001615,Black,0
16001641,Black,0
16001645,Black,0
16001648,Black,0
16001648,Black,0
16001658,Black,0
16001677,Black,0
16001681,Black,0
16001692,Black,0
16001705,Black,0
16001707,Black,0
16001716,Black,0
16001719,Black,0
16001730,Black,0
16001740,Black,0
16001751,Black,0
16001793,Black,0
16001801,Black,0
16001817,Black,0
16001827,Black,0
16001829,Black,0
16001833,Black,0
16001833,Black,0
16001857,Black,0
16001864,Black,0
16001876,Black,0
16001884,Black,0
16001888,Black,0
16001760,Black,0
16001938,Black,0
16001941,Black,0
16001945,Black,0
16001971,Black,0
16001977,Black,0
16001980,Black,0
16001991,Black,0
16001994,Black,0
16002038,Black,0
16002048,Black,0
16002048,Black,0
16002052,Black,0
16002054,Black,0
16002060,Black,0
16002073,Black,0
16002115,Black,0
16002138,Black,0
16002139,Black,0
16002165,Black,0
16002168,Black,0
16002168,Black,0
16002174,Black,0
16002186,Black,0
16002194,Black,0
16002199,Black,0
16002207,Black,0
16002211,Black,0
16002207,Black,0
16002216,Black,0
16002229,Black,0
16002252,Black,0
16002269,Black,0
16002275,Black,0
16002277,Black,0
16002280,Black,0
16002281,Black,0
16002298,Black,0
16002314,Black,0
16002322,Black,0
16002328,Black,0
16002331,Black,0
16002333,Black,0
16002338,Black,0
16002346,Black,0
16002347,Black,0
16002350,Black,0
16002354,Black,0
16002360,Black,0
16002378,Black,0
16002388,Black,0
16002402,Black,0
16002417,Black,0
16002424,Black,0
16002428,Black,0
16002451,Black,0
16002490,Black,0
16002531,Black,0
16002532,Black,0
16002548,Black,0
16002570,Black,0
16002602,Black,0
16002636,Black,0
16002637,Black,0
16002673,Black,0
16002675,Black,0
16002683,Black,0
16002689,Black,0
16002703,Black,0
16002720,Black,0
16002722,Black,0
16002722,Black,0
16002723,Black,0
16002798,Black,0
16002799,Black,0
16002805,Black,0
16002824,Black,0
16002826,Black,0
16002835,Black,0
16002824,Black,0
16002852,Black,0
16002872,Black,0
16002885,Black,0
16002891,Black,0
16002932,Black,0
16002891,Black,0
16002964,Black,0
16002969,Black,0
16002999,Black,0
16002999,Black,0
16003002,Black,0
16003017,Black,0
16003018,Black,0
16003030,Black,0
16003036,Black,0
16003062,Black,0
16003078,Black,0
16003096,Black,0
16003099,Black,0
16003143,Black,0
16003142,Black,0
16002891,Black,0
16003167,Black,0
16003172,Black,0
16003185,Black,0
16003189,Black,0
16003205,Black,0
16003209,Black,0
16003235,Black,0
16003207,Black,0
16003255,Black,0
16003279,Black,0
16003298,Black,0
16003301,Black,0
16003140,Black,0
16003309,Black,0
16003324,Black,0
16003323,Black,0
16003327,Black,0
16003338,Black,0
16003004,Black,0
16003355,Black,0
16003361,Black,0
16003373,Black,0
16003396,Black,0
16003424,Black,0
16003423,Black,0
16003440,Black,0
16003446,Black,0
16003454,Black,0
16003456,Black,0
16003459,Black,0
16003463,Black,0
16003466,Black,0
16003496,Black,0
16003498,Black,0
16003500,Black,0
16003524,Black,0
16003527,Black,0
16003539,Black,0
16003552,Black,0
16002962,Black,0
16003567,Black,0
16003580,Black,0
16003587,Black,0
16003593,Black,0
16003608,Black,0
16003610,Black,0
16003626,Black,0
16003633,Black,0
16003639,Black,0
16003649,Black,0
16003658,Black,0
16003663,Black,0
16003663,Black,0
16003667,Black,0
16003692,Black,0
16003697,Black,0
16003746,Black,0
16003750,Black,0
16003766,Black,0
16003780,Black,0
16003785,Black,0
16003797,Black,0
16003801,Black,0
16003804,Black,0
16003823,Black,0
16003830,Black,0
16003832,Black,0
16003836,Black,0
16003837,Black,0
16003804,Black,0
16003849,Black,0
16003855,Black,0
16003856,Black,0
16003903,Black,0
16003945,Black,0
16003958,Black,0
16003962,Black,0
16004003,Black,0
16004022,Black,0
16004022,Black,0
16004023,Black,0
16004026,Black,0
16004028,Black,0
16004030,Black,0
16004031,Black,0
16004065,Black,0
16004065,Black,0
16004065,Black,0
16004067,Black,0
16004077,Black,0
16004078,Black,0
16004079,Black,0
16004115,Black,0
16004134,Black,0
16004144,Black,0
16004152,Black,0
16004162,Black,0
16004171,Black,0
16004186,Black,0
16004189,Black,0
16004196,Black,0
16004216,Black,0
16004217,Black,0
16004219,Black,0
16004223,Black,0
16004234,Black,0
16004236,Black,0
16004286,Black,0
16004291,Black,0
16004291,Black,0
16004313,Black,0
16004322,Black,0
16004357,Black,0
16004404,Black,0
16004161,Black,0
16004408,Black,0
16004412,Black,0
16004420,Black,0
16004443,Black,0
16004454,Black,0
16004468,Black,0
16004480,Black,0
16004482,Black,0
16004490,Black,0
16004491,Black,0
16004495,Black,0
16004501,Black,0
16004508,Black,0
16004535,Black,0
16004536,Black,0
16004549,Black,0
16004554,Black,0
16004585,Black,0
16004605,Black,0
16004608,Black,0
16004609,Black,0
16004613,Black,0
16004659,Black,0
16004672,Black,0
16004693,Black,0
16004699,Black,0
16004707,Black,0
16004719,Black,0
16004735,Black,0
16004743,Black,0
16004745,Black,0
16004744,Black,0
16004762,Black,0
16004762,Black,0
16004766,Black,0
16004782,Black,0
16004786,Black,0
16004789,Black,0
16004792,Black,0
16004793,Black,0
16004801,Black,0
16004804,Black,0
16004815,Black,0
16004817,Black,0
16004847,Black,0
16004870,Black,0
16004902,Black,0
16004904,Black,0
16004912,Black,0
16004916,Black,0
16004921,Black,0
16004982,Black,0
16004985,Black,0
16004997,Black,0
16005006,Black,0
16005005,Black,0
16005005,Black,0
16005016,Black,0
16005044,Black,0
16005046,Black,0
16005058,Black,0
16005070,Black,0
16005080,Black,0
16005088,Black,0
16005090,Black,0
16005091,Black,0
16005112,Black,0
16005164,Black,0
16005171,Black,0
16005197,Black,0
16005204,Black,0
16005209,Black,0
16005219,Black,0
16005227,Black,0
16005243,Black,0
16005269,Black,0
16005284,Black,0
16005294,Black,0
16005299,Black,0
16005309,Black,0
16005311,Black,0
16005323,Black,0
16005337,Black,0
16005341,Black,0
16005344,Black,0
16005365,Black,0
16005376,Black,0
16005386,Black,0
16005388,Black,0
16005412,Black,0
16005427,Black,0
16005429,Black,0
16005435,Black,0
16005466,Black,0
16005468,Black,0
16005474,Black,0
16005506,Black,0
16005518,Black,0
16005531,Black,0
16005540,Black,0
16005542,Black,0
16005546,Black,0
16005563,Black,0
16005580,Black,0
16005584,Black,0
16005584,Black,0
16005602,Black,0
16005530,Black,0
16005623,Black,0
16005630,Black,0
16005637,Black,0
16005707,Black,0
16005710,Black,0
16005714,Black,0
16005719,Black,0
16005728,Black,0
16000006,White,0
16000007,White,0
16000030,White,0
16000038,White,0
16000040,White,0
16000042,White,0
16000052,White,0
16000063,White,0
16000075,White,0
16000089,White,0
16000093,White,0
16000077,White,0
16000103,White,0
16000106,White,0
16000151,White,0
16000153,White,0
16000158,White,0
16000175,White,0
16000180,White,0
16000182,White,0
16000190,White,0
16000192,White,0
16000200,White,0
16000219,White,0
16000229,White,0
16000246,White,0
16000250,White,0
16000252,White,0
16000253,White,0
16000306,White,0
16000317,White,0
16000339,White,0
16000374,White,0
16000382,White,0
16000383,White,0
16000363,White,0
16000396,White,0
16000415,White,0
16000418,White,0
16000422,White,0
16000427,White,0
16000429,White,0
16000440,White,0
16000480,White,0
16000489,White,0
16000491,White,0
16000473,White,0
16000473,White,0
16000504,White,0
16000520,White,0
16000522,White,0
16000533,White,0
16000534,White,0
16000535,White,0
16000568,White,0
16000571,White,0
16000601,White,0
16000602,White,0
16000603,White,0
16000632,White,0
16000640,White,0
16000651,White,0
16000647,White,0
16000652,White,0
16000661,White,0
16000660,White,0
16000687,White,0
16000686,White,0
16000692,White,0
16000699,White,0
16000718,White,0
16000749,White,0
16000750,White,0
16000751,White,0
16000754,White,0
16000770,White,0
16000771,White,0
16000798,White,0
16000800,White,0
16000806,White,0
16000810,White,0
16000847,White,0
16000855,White,0
16000858,White,0
16000866,White,0
16000881,White,0
16000888,White,0
16000893,White,0
16000893,White,0
16000902,White,0
16000942,White,0
16000945,White,0
16000947,White,0
16000952,White,0
16000962,White,0
16001076,White,0
16001086,White,0
16001094,White,0
16001105,White,0
16001112,White,0
16001136,White,0
16001154,White,0
16001163,White,0
16001165,White,0
16001184,White,0
16001205,White,0
16001204,White,0
16001215,White,0
16001219,White,0
16001224,White,0
16001233,White,0
16001249,White,0
16001283,White,0
16001310,White,0
16001318,White,0
16001354,White,0
16001356,White,0
16001385,White,0
16001389,White,0
16001403,White,0
16001408,White,0
16001419,White,0
16001429,White,0
16001485,White,0
16001503,White,0
16001511,White,0
16001512,White,0
16001542,White,0
16001581,White,0
16001617,White,0
16001619,White,0
16001633,White,0
16001656,White,0
16001716,White,0
16001726,White,0
16001731,White,0
16001732,White,0
16001732,White,0
16001740,White,0
16001743,White,0
16001749,White,0
16001754,White,0
16001764,White,0
16001773,White,0
16001779,White,0
16001789,White,0
16001794,White,0
16001815,White,0
16001824,White,0
16001863,White,0
16001875,White,0
16001912,White,0
16001918,White,0
16001932,White,0
16001959,White,0
16001959,White,0
16001979,White,0
16001982,White,0
16001992,White,0
16002013,White,0
16002066,White,0
16002068,White,0
16002107,White,0
16002127,White,0
16002147,White,0
16002147,White,0
16002179,White,0
16002180,White,0
16002193,White,0
16002203,White,0
16002209,White,0
16002251,White,0
16002263,White,0
16002264,White,0
16002265,White,0
16002267,White,0
16000716,White,0
16002284,White,0
16002313,White,0
16002315,White,0
16002320,White,0
16002339,White,0
16002342,White,0
16002348,White,0
16002351,White,0
16002352,White,0
16002358,White,0
16002366,White,0
16002377,White,0
16002268,White,0
16002401,White,0
16002408,White,0
16002409,White,0
16002419,White,0
16002425,White,0
16002429,White,0
16002434,White,0
16002459,White,0
16002486,White,0
16002503,White,0
16002508,White,0
16002508,White,0
16002530,White,0
16002541,White,0
16002565,White,0
16002566,White,0
16002578,White,0
16002584,White,0
16002601,White,0
16002614,White,0
16002618,White,0
16002645,White,0
16002654,White,0
16002669,White,0
16002674,White,0
16002680,White,0
16002686,White,0
16002702,White,0
16002721,White,0
16002735,White,0
16002741,White,0
16002764,White,0
16002804,White,0
16002822,White,0
16002830,White,0
16002830,White,0
16002843,White,0
16002848,White,0
16002891,White,0
16002894,White,0
16002918,White,0
16002925,White,0
16002935,White,0
16002992,White,0
16002998,White,0
16002998,White,0
16003003,White,0
16003001,White,0
16003010,White,0
16003024,White,0
16003029,White,0
16003037,White,0
16003047,White,0
16003064,White,0
16003079,White,0
16003080,White,0
16003098,White,0
16003116,White,0
16003117,White,0
16003120,White,0
16003121,White,0
16002646,White,0
16003176,White,0
16003028,White,0
16003200,White,0
16003224,White,0
16003237,White,0
16003244,White,0
16003248,White,0
16003256,White,0
16003257,White,0
16003299,White,0
16003300,White,0
16003348,White,0
16003375,White,0
16003387,White,0
16003418,White,0
16003421,White,0
16003427,White,0
16003436,White,0
16003460,White,0
16003464,White,0
16003494,White,0
16003506,White,0
16003531,White,0
16003555,White,0
16003602,White,0
16003603,White,0
16003604,White,0
16003608,White,0
16003612,White,0
16003629,White,0
16003632,White,0
16003640,White,0
16003647,White,0
16003679,White,0
16003685,White,0
16003689,White,0
