ICR,Race,TwoBlocks
16003480,Black,0
16003503,Black,0
16003525,Black,0
16003528,Black,0
16003556,Black,0
16003563,Black,0
16003582,Black,0
16003605,Black,0
16003657,Black,0
16003676,Black,0
16003705,Black,0
16003888,Black,0
16003907,Black,0
16004207,Black,0
16004209,Black,0
16004218,Black,0
16004233,Black,0
16004242,Black,0
16004320,Black,0
16004327,Black,0
16004342,Black,0
16004459,Black,0
16004470,Black,0
16004505,Black,0
16004548,Black,0
16004555,Black,0
16004559,Black,0
16004616,Black,0
16004623,Black,0
16004626,Black,0
16004634,Black,0
16004733,Black,0
16004736,Black,0
16004747,Black,0
16004763,Black,0
16004800,Black,0
16004572,Black,0
16004868,Black,0
16004913,Black,0
16004952,Black,0
16005021,Black,0
16005190,Black,0
16005220,Black,0
16005228,Black,0
16005242,Black,0
16005311,Black,0
16005311,Black,0
16005326,Black,0
16005359,Black,0
16005386,Black,0
16005390,Black,0
16005487,Black,0
16005492,Black,0
16005529,Black,0
16005566,Black,0
16005591,Black,0
16005678,Black,0
16005745,Black,0
16005747,Black,0
16000008,White,0
16000012,White,0
16000015,White,0
16000021,White,0
16000039,White,0
16000058,White,0
16000064,White,0
16000074,White,0
16000088,White,0
16000094,White,0
16000123,White,0
16000160,White,0
16000164,White,0
16000168,White,0
16000169,White,0
16000174,White,0
16000178,White,0
16000181,White,0
16000185,White,0
16000190,White,0
16000195,White,0
16000196,White,0
16000216,White,0
16000218,White,0
16000225,White,0
16000240,White,0
16000243,White,0
16000259,White,0
16000265,White,0
16000284,White,0
16000286,White,0
16000288,White,0
16000298,White,0
16000305,White,0
16000316,White,0
16000336,White,0
16000344,White,0
16000345,White,0
16000351,White,0
16000356,White,0
16000360,White,0
16000375,White,0
16000377,White,0
16000378,White,0
16000380,White,0
16000395,White,0
16000411,White,0
16000414,White,0
16000417,White,0
16000419,White,0
16000421,White,0
16000449,White,0
16000452,White,0
16000457,White,0
16000462,White,0
16000496,White,0
16000506,White,0
16000508,White,0
16000515,White,0
16000521,White,0
16000545,White,0
16000549,White,0
16000556,White,0
16000557,White,0
16000572,White,0
16000579,White,0
16000581,White,0
16000595,White,0
16000610,White,0
16000637,White,0
16000638,White,0
16000642,White,0
16000644,White,0
16000653,White,0
16000658,White,0
16000674,White,0
16000678,White,0
16000683,White,0
16000684,White,0
16000690,White,0
16000691,White,0
16000694,White,0
16000703,White,0
16000714,White,0
16000719,White,0
16000723,White,0
16000739,White,0
16000743,White,0
16000767,White,0
16000795,White,0
16000803,White,0
16000807,White,0
16000808,White,0
16000815,White,0
16000816,White,0
16000819,White,0
16000821,White,0
16000822,White,0
16000840,White,0
16000856,White,0
16000867,White,0
16000876,White,0
16000885,White,0
16000886,White,0
16000901,White,0
16000923,White,0
16000940,White,0
16000949,White,0
16000950,White,0
16000956,White,0
16001083,White,0
16001113,White,0
16001115,White,0
16001116,White,0
16001137,White,0
16001140,White,0
16001148,White,0
16001156,White,0
16001172,White,0
16001178,White,0
16001201,White,0
16001202,White,0
16001211,White,0
16001230,White,0
16001248,White,0
16001250,White,0
16001256,White,0
16001260,White,0
16001261,White,0
16001277,White,0
16001282,White,0
16001285,White,0
16001289,White,0
16001292,White,0
16001304,White,0
16001335,White,0
16001344,White,0
16001351,White,0
16001364,White,0
16001372,White,0
16001378,White,0
16001402,White,0
16001404,White,0
16001405,White,0
16001414,White,0
16001423,White,0
16001441,White,0
16001442,White,0
16001473,White,0
16001482,White,0
16001513,White,0
16001516,White,0
16001519,White,0
16001525,White,0
16001530,White,0
16001532,White,0
16001545,White,0
16001546,White,0
16001552,White,0
16001556,White,0
16001559,White,0
16001597,White,0
16001600,White,0
16001604,White,0
16001620,White,0
16001631,White,0
16001666,White,0
16001670,White,0
16001672,White,0
16001674,White,0
16001678,White,0
16001706,White,0
16001710,White,0
16001737,White,0
16001741,White,0
16001746,White,0
16001753,White,0
16001763,White,0
16001772,White,0
16001780,White,0
16001800,White,0
16001828,White,0
16001846,White,0
16001862,White,0
16001862,White,0
16001867,White,0
16001874,White,0
16001878,White,0
16001914,White,0
16001919,White,0
16001936,White,0
16001943,White,0
16001954,White,0
16001957,White,0
16001998,White,0
16002010,White,0
16002018,White,0
16002023,White,0
16002025,White,0
16002026,White,0
16002043,White,0
16002050,White,0
16002055,White,0
16002087,White,0
16002101,White,0
16002120,White,0
16002202,White,0
16002204,White,0
16002212,White,0
16002215,White,0
16002236,White,0
16002237,White,0
16002242,White,0
16002249,White,0
16002254,White,0
16002260,White,0
16002264,White,0
16002264,White,0
16002276,White,0
16002279,White,0
16002282,White,0
16002283,White,0
16002317,White,0
16002329,White,0
16002335,White,0
16002340,White,0
